<24.648922,-46.960767,-61.776837>,<-0.640947,0.233842,-0.731099,0.000000,-0.711944,-0.537136,0.452351,0.000000,-0.286921,0.810434,0.510757,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43043>
<61.617353,-33.259675,-370.196770>,<0.614619,0.306937,-0.726659,0.000000,0.674723,-0.681780,0.282710,0.000000,-0.408647,-0.664053,-0.626132,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<42958>
<73.958784,138.489175,-395.847584>,<-0.121054,0.476185,-0.870973,0.000000,0.965435,0.260513,0.008247,0.000000,0.230826,-0.839870,-0.491261,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43230>
<32.726442,-110.154315,-254.931748>,<0.849621,0.137212,-0.509232,0.000000,0.269511,-0.942925,0.195592,0.000000,-0.453329,-0.303423,-0.838109,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43271>
<-26.177033,-65.948859,-71.640058>,<-0.534242,0.069982,0.842430,0.000000,0.567845,-0.708532,0.418969,0.000000,0.626208,0.702200,0.338788,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43050>
<-64.059684,-108.615925,-194.964187>,<0.930609,-0.241872,-0.274707,0.000000,-0.240053,-0.969904,0.040757,0.000000,-0.276298,0.028015,-0.960664,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43299>
<24.895496,-39.128083,-114.448689>,<-0.027483,-0.912741,-0.407614,0.000000,-0.526657,0.359805,-0.770177,0.000000,0.849633,0.193506,-0.490590,0.000000,0.000000,0.000000,0.000000,1.000000>,<20.000000>,<iTallElipsoid>,<-2>,<16178>
<64.996931,-106.049825,-280.512264>,<0.202577,0.266518,0.942301,0.000000,-0.131971,-0.946044,0.295948,0.000000,0.970333,-0.184309,-0.156474,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43162>
<25.276884,-42.681529,-61.580938>,<0.123059,0.198031,-0.972440,0.000000,-0.782312,-0.583555,-0.217836,0.000000,-0.610610,0.787558,0.083110,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43043>
<-45.082063,87.987835,-20.728747>,<-0.696948,-0.058790,0.714707,0.000000,0.711236,0.070758,0.699383,0.000000,-0.091688,0.995760,-0.007501,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43270>
<5.024598,263.516542,-290.929438>,<-0.799756,0.121402,-0.587921,0.000000,0.356158,0.884319,-0.301880,0.000000,0.483261,-0.450824,-0.750478,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43137>
<-89.539387,-42.182696,-347.113988>,<-0.704880,-0.547243,0.451297,0.000000,-0.078179,-0.572420,-0.816225,0.000000,0.705005,-0.610623,0.360705,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43059>
<-64.809914,-90.191054,-132.811128>,<-0.207692,-0.286710,-0.935233,0.000000,-0.454962,-0.818064,0.351825,0.000000,-0.865953,0.498567,0.039463,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipIn262>,<2>,<43185>
<-98.198609,68.284655,-286.338067>,<-0.015395,-0.193623,0.980955,0.000000,-0.335886,0.925061,0.177319,0.000000,-0.941777,-0.326759,-0.079277,0.000000,0.000000,0.000000,0.000000,1.000000>,<20.000000>,<iTallElipsoid>,<-2>,<9361>
<9.120128,44.584480,-17.866825>,<0.986762,0.139146,-0.083308,0.000000,-0.067219,-0.116575,-0.990905,0.000000,-0.147592,0.983386,-0.105678,0.000000,0.000000,0.000000,0.000000,1.000000>,<4.500000>,<LipOut262>,<2>,<43183>
